user	instance_id	displayed_text	sentiment:::positive	entity_annotation:::time	opinion_annotation:::why NO	span_annotation:::organization	span_annotation:::why YES	span_annotation:::time	span_annotation:::why NO	span_annotation:::certain	span_annotation:::Agreement	span_annotation:::NO to Cop City	span_annotation:::person	span_annotation:::uncertain	span_annotation:::Opposition	span_annotation:::resident	span_annotation:::location
test1@test.com	2	>> PRINCE WILLIAM WALTERS: [07:53:21] This is Prince William Walters, a homeowner in Gresham Park, and I'm calling to voice my disapproval of the training facility plan for the old Atlanta prison farm. This place should be used for much more public purposes, and I would very much appreciate you hear the voices of the community and our disapproval of the proposed new training facility in the Atlanta prison farm. We do not want this here. Homeowners have spoken, and we would very much appreciate more community minded use of such land. Thank you for your time. [07:54:03]	1			[]	[]	[]	[]	[]	[]	[]	[]	[{'start': 5, 'end': 27, 'span': 'I am so sorry for that', 'annotation': 'uncertain', 'schema': 'certainty', 'annotation_title': 'uncertain'}, {'start': 36, 'end': 46, 'span': 'No worries', 'annotation': 'uncertain', 'schema': 'certainty', 'annotation_title': 'uncertain'}]	[]	[]	[]
test1@test.com	1	>> MARY ROBISNSON: [07:52:03] Hi, my name is Mary Robinson. I'm calling with concerns over the proposed police training facility on Key Road. I'm a resident of the prison farm neighborhood, where the training facility is going to be build. I strongly oppose the proposed police training center for several reasons. The first being that Atlanta police already have nearly 100 acres elsewhere, that they should be using. [indiscernible] property slowly being reclaimed by the surrounding forest wetlands and the hundreds of species of animals that reside there. We find any part of these wetlands and woods that remain in our city as an explosion and negatively impact the efficiency of our natural floodplain as well as the climate. There isn't so much space available in the city of Atlanta itself. Rather than putting the farm on unincorporated DeKalb County because they can get away with that portion already sitting in the street. [indiscernible]. Thank you. [07:53:20]	1			[]	[]	[]	[]	[{'start': 34, 'end': 38, 'span': 'Yes!', 'annotation': 'certain', 'schema': 'certainty', 'annotation_title': 'certain'}, {'start': 58, 'end': 64, 'span': 'great!', 'annotation': 'certain', 'schema': 'certainty', 'annotation_title': 'certain'}]	[]	[]	[]	[{'start': 38, 'end': 49, 'span': 'I like you!', 'annotation': 'uncertain', 'schema': 'certainty', 'annotation_title': 'uncertain'}]	[]	[]	[]
test2@test.com	7	>> JASON FORD: [07:57:16] Jason FORD. I'm actually convinced that the Atlanta police department and all that employees deserve the training facility, [indiscernible]. [07:57:55]]				[]	[]	[{'start': 22, 'end': 30, 'span': '07:57:16', 'annotation': 'time', 'schema': 'labeling', 'annotation_title': 'time'}, {'start': 174, 'end': 182, 'span': '07:57:55', 'annotation': 'time', 'schema': 'labeling', 'annotation_title': 'time'}]	[]	[]	[]	[]	[{'start': 9, 'end': 19, 'span': 'JASON FORD', 'annotation': 'person', 'schema': 'labeling', 'annotation_title': 'person'}, {'start': 32, 'end': 42, 'span': 'Jason FORD', 'annotation': 'person', 'schema': 'labeling', 'annotation_title': 'person'}]	[]	[]	[]	[]
test2@test.com	4	>> MARY PARK: [07:55:00] This is Mary Park and I live on Taylor Street, near the Carter Library. I am calling because I'm concerned about the police training facility that y'all are, thinking of building, and what I want to say that this is not how our money should be spent. [indiscernible]. Anyway, I live in the city of Atlanta in DeKalb County. And so that's my opinion. [07:56:26]				[]	[]	[{'start': 21, 'end': 29, 'span': '07:55:00', 'annotation': 'time', 'schema': 'labeling', 'annotation_title': 'time'}, {'start': 638, 'end': 646, 'span': '07:56:26', 'annotation': 'time', 'schema': 'labeling', 'annotation_title': 'time'}]	[]	[]	[]	[]	[{'start': 9, 'end': 18, 'span': 'MARY PARK', 'annotation': 'person', 'schema': 'labeling', 'annotation_title': 'person'}, {'start': 39, 'end': 48, 'span': 'Mary Park', 'annotation': 'person', 'schema': 'labeling', 'annotation_title': 'person'}]	[]	[]	[]	"[{'start': 63, 'end': 76, 'span': 'Taylor Street', 'annotation': 'location', 'schema': 'labeling', 'annotation_title': 'location'}, {'start': 87, 'end': 101, 'span': 'Carter Library', 'annotation': 'location', 'schema': 'labeling', 'annotation_title': 'location'}, {'start': 307, 'end': 442, 'span': 'I live in the city of <span class=""span_container"" selection_label=""location"" style=""background-color:rgb(145, 30, 180, 0.25);"">Atlanta', 'annotation': 'location', 'schema': 'labeling', 'annotation_title': 'location'}, {'start': 596, 'end': 609, 'span': 'DeKalb County', 'annotation': 'location', 'schema': 'labeling', 'annotation_title': 'location'}]"
test2@test.com	2	>> PRINCE WILLIAM WALTERS: [07:53:21] This is Prince William Walters, a homeowner in Gresham Park, and I'm calling to voice my disapproval of the training facility plan for the old Atlanta prison farm. This place should be used for much more public purposes, and I would very much appreciate you hear the voices of the community and our disapproval of the proposed new training facility in the Atlanta prison farm. We do not want this here. Homeowners have spoken, and we would very much appreciate more community minded use of such land. Thank you for your time. [07:54:03]				[]	[]	[{'start': 34, 'end': 42, 'span': '07:53:21', 'annotation': 'time', 'schema': 'labeling', 'annotation_title': 'time'}, {'start': 571, 'end': 579, 'span': '07:54:03', 'annotation': 'time', 'schema': 'labeling', 'annotation_title': 'time'}]	[]	[]	[]	[]	[{'start': 9, 'end': 31, 'span': 'PRINCE WILLIAM WALTERS', 'annotation': 'person', 'schema': 'labeling', 'annotation_title': 'person'}, {'start': 52, 'end': 74, 'span': 'Prince William Walters', 'annotation': 'person', 'schema': 'labeling', 'annotation_title': 'person'}]	[]	[]	[{'start': 78, 'end': 87, 'span': 'homeowner', 'annotation': 'resident', 'schema': 'labeling', 'annotation_title': 'resident'}]	[{'start': 91, 'end': 103, 'span': 'Gresham Park', 'annotation': 'location', 'schema': 'labeling', 'annotation_title': 'location'}, {'start': 187, 'end': 206, 'span': 'Atlanta prison farm', 'annotation': 'location', 'schema': 'labeling', 'annotation_title': 'location'}, {'start': 400, 'end': 419, 'span': 'Atlanta prison farm', 'annotation': 'location', 'schema': 'labeling', 'annotation_title': 'location'}]
test2@test.com	1	>> MARY ROBISNSON: [07:52:03] Hi, my name is Mary Robinson. I'm calling with concerns over the proposed police training facility on Key Road. I'm a resident of the prison farm neighborhood, where the training facility is going to be build. I strongly oppose the proposed police training center for several reasons. The first being that Atlanta police already have nearly 100 acres elsewhere, that they should be using. [indiscernible] property slowly being reclaimed by the surrounding forest wetlands and the hundreds of species of animals that reside there. We find any part of these wetlands and woods that remain in our city as an explosion and negatively impact the efficiency of our natural floodplain as well as the climate. There isn't so much space available in the city of Atlanta itself. Rather than putting the farm on unincorporated DeKalb County because they can get away with that portion already sitting in the street. [indiscernible]. Thank you. [07:53:20]				[]	[]	[{'start': 26, 'end': 34, 'span': '07:52:03', 'annotation': 'time', 'schema': 'labeling', 'annotation_title': 'time'}, {'start': 970, 'end': 978, 'span': '07:53:20', 'annotation': 'time', 'schema': 'labeling', 'annotation_title': 'time'}]	[]	[]	[]	[]	[{'start': 9, 'end': 23, 'span': 'MARY ROBISNSON', 'annotation': 'person', 'schema': 'labeling', 'annotation_title': 'person'}, {'start': 51, 'end': 64, 'span': 'Mary Robinson', 'annotation': 'person', 'schema': 'labeling', 'annotation_title': 'person'}]	[]	[]	[{'start': 154, 'end': 162, 'span': 'resident', 'annotation': 'resident', 'schema': 'labeling', 'annotation_title': 'resident'}]	[{'start': 138, 'end': 146, 'span': 'Key Road', 'annotation': 'location', 'schema': 'labeling', 'annotation_title': 'location'}, {'start': 170, 'end': 181, 'span': 'prison farm', 'annotation': 'location', 'schema': 'labeling', 'annotation_title': 'location'}, {'start': 789, 'end': 796, 'span': 'Atlanta', 'annotation': 'location', 'schema': 'labeling', 'annotation_title': 'location'}, {'start': 852, 'end': 865, 'span': 'DeKalb County', 'annotation': 'location', 'schema': 'labeling', 'annotation_title': 'location'}]
test2@test.com	8	>> MICHAEL GERBER: [07:58:55] Hi, my name is Michael Gerber, and I've lived in the city of Atlanta now since 1998. I was a student at Georgia Tech, and then for about 15 years down here, in Salina, and now I live in Midtown. I'm calling to urge the entire council to vote no on the construction of the public training facility that is being proposed to be built on the old prison farm in the southeastern part of the city. I visited numerous that area and gone on some hikes. Also, with a group of friends and some scenic through there, you have a good time, and it's a nice little getaway from the rest of the city. And this is so much potential in that whole area to be another great part to the city and for generations to come. They think that I can potentially become an area where there are some regions that and the tearing down of the trees around there and it would take away from the potential that has to be become a major Park City. Again, I urge you to vote no. There are other places that this facility can be built. Just consider other options here. Thank you very much for your time. Bye. [07:59:48]				[]	[]	[{'start': 1112, 'end': 1120, 'span': '07:59:48', 'annotation': 'time', 'schema': 'labeling', 'annotation_title': 'time'}]	[]	[]	[]	[]	[{'start': 9, 'end': 23, 'span': 'MICHAEL GERBER', 'annotation': 'person', 'schema': 'labeling', 'annotation_title': 'person'}, {'start': 51, 'end': 65, 'span': 'Michael Gerber', 'annotation': 'person', 'schema': 'labeling', 'annotation_title': 'person'}]	[]	[]	"[{'start': 71, 'end': 104, 'span': ""I've lived in the city of Atlanta"", 'annotation': 'resident', 'schema': 'labeling', 'annotation_title': 'resident'}]"	[{'start': 140, 'end': 152, 'span': 'Georgia Tech', 'annotation': 'location', 'schema': 'labeling', 'annotation_title': 'location'}, {'start': 196, 'end': 202, 'span': 'Salina', 'annotation': 'location', 'schema': 'labeling', 'annotation_title': 'location'}, {'start': 222, 'end': 229, 'span': 'Midtown', 'annotation': 'location', 'schema': 'labeling', 'annotation_title': 'location'}]
test2@test.com	12	>> FRANK: [08:01:48] Hello, my name is Frank Zachary. I live in the southern neighborhood of District 12. I'm asking you to vote no on the proposal on cutting down South River Forest Area. It's simply, not what the community wants. Thank you. [08:02:07]				[]	[]	[{'start': 23, 'end': 31, 'span': '08:01:48', 'annotation': 'time', 'schema': 'labeling', 'annotation_title': 'time'}]	[]	[]	[]	[]	[{'start': 15, 'end': 20, 'span': 'FRANK', 'annotation': 'person', 'schema': 'labeling', 'annotation_title': 'person'}, {'start': 51, 'end': 64, 'span': 'Frank Zachary', 'annotation': 'person', 'schema': 'labeling', 'annotation_title': 'person'}]	[]	[]	[]	"[{'start': 66, 'end': 222, 'span': 'I live in the southern neighborhood of <span class=""span_container"" selection_label=""location"" style=""background-color:rgb(145, 30, 180, 0.25);"">District 12', 'annotation': 'location', 'schema': 'labeling', 'annotation_title': 'location'}, {'start': 259, 'end': 443, 'span': '08:02:07<div class=""span_container"" data-<span="""" data-schema=""labeling"" name=""time"" selection_label=""location"" style=""background-color:rgb(145, 30, 180,0.25);"">South River Forest Area', 'annotation': 'location', 'schema': 'labeling', 'annotation_title': 'location</div>'}]"
test2@test.com	6	>> MAN #7: [07:57:04] This is [indiscernible]. And I'm in support of the public safety training center on Key Road. Thank you. [07:57:15]				[]	[]	[{'start': 18, 'end': 26, 'span': '07:57:04', 'annotation': 'time', 'schema': 'labeling', 'annotation_title': 'time'}, {'start': 134, 'end': 142, 'span': '07:57:15', 'annotation': 'time', 'schema': 'labeling', 'annotation_title': 'time'}]	[]	[]	[]	[]	[]	[]	[]	[]	[{'start': 112, 'end': 120, 'span': 'Key Road', 'annotation': 'location', 'schema': 'labeling', 'annotation_title': 'location'}]
test2@test.com	9	>> CREATURE YOUNG: [07:59:49] Hello. My name is Creature Young. I'm a, South East Atlanta resident. I am calling to express my opposition on the proposal to lease the South River Forest in the old Atlanta prison farm as a police training facility. The Atlanta city design documents themselves pacify the South River Forest is going to be the keystone of Atlanta's future park in a greenspace. So, I don't know why we would not want to be careful planning unless it's an emergency and I don't see an emergency here. So, I think there's lots of other potential places for the training facility. It can go to industrial sites, strip malls, other places in Atlanta that they can make a facility like this. But there's only one work area. And, we believe that these overgrown trees that we're talking about here, that's irreplaceable. Let's keep the forest, and keep this training facility somewhere else. Thank you. [08:00:55]				[]	[]	[{'start': 26, 'end': 34, 'span': '07:59:49', 'annotation': 'time', 'schema': 'labeling', 'annotation_title': 'time'}, {'start': 1175, 'end': 1183, 'span': '08:00:55', 'annotation': 'time', 'schema': 'labeling', 'annotation_title': 'time'}]	[]	[]	[]	[]	[{'start': 9, 'end': 23, 'span': 'CREATURE YOUNG', 'annotation': 'person', 'schema': 'labeling', 'annotation_title': 'person'}, {'start': 54, 'end': 68, 'span': 'Creature Young', 'annotation': 'person', 'schema': 'labeling', 'annotation_title': 'person'}]	[]	[]	[]	"[{'start': 70, 'end': 201, 'span': 'I\'m a, <span class=""span_container"" selection_label=""location"" style=""background-color:rgb(145, 30, 180, 0.25);"">South East Atlanta', 'annotation': 'location', 'schema': 'labeling', 'annotation_title': 'location'}, {'start': 459, 'end': 478, 'span': 'Atlanta prison farm', 'annotation': 'location', 'schema': 'labeling', 'annotation_title': 'location'}, {'start': 566, 'end': 584, 'span': 'South River Forest', 'annotation': 'location', 'schema': 'labeling', 'annotation_title': 'location'}, {'start': 616, 'end': 623, 'span': 'Atlanta', 'annotation': 'location', 'schema': 'labeling', 'annotation_title': 'location'}, {'start': 915, 'end': 922, 'span': 'Atlanta', 'annotation': 'location', 'schema': 'labeling', 'annotation_title': 'location'}]"
