id,text,dates
1,">> KATIE HOUSER: [06:19:59] Hi. My name is Katie Houser, and I am an Atlanta resident, and I support the Public Safety Training Center. Thank you. [06:20:25]",Sep_7_2021
2,">> MAN #51: [06:20:07] Hello. I'm an Atlanta residents, and very concerned about the rise in crime in our city, and I am in full support of the building of the training center on Key Road which is very important for our city. And I ask for council members to vote in favor of it and provide that training center for the responders. Thank you. [06:20:27]",Sep_7_2021
3,">> WOMAN #62: [06:20:2] Hi. My name is [indiscernible] Rashna, and I'm a constituent in Atlanta. I’m just calling to oppose ordinance 2100367 or lease public land to Atlanta police foundation for proposed training facilities. The city does not need would only endanger the people at that time. Proper training facility will not keep us a safe and effective climate change as the public lands is in a forest, mitigate flooding entrenchment in the city and provide the care and only the shooting ranges weapon and explosive testing for the quick and clean can continue to grow locally. Continue to train the LAPD for testing tactics that hurt and kill it, and then investing in housing affordability, homelessness funding. Our schools are providing financial relief during the pandemic. The city of Atlanta and foundations need to tear down and report on providing relief of extreme heat, flooding and air pollution. All police training facility that the community is not, want or need or want capacity. The community component development and the community engagement process has been identified, for example that many residents can afford and vote no on City ordinance 2100036783. Thanks. Goodnight. [06:21:48]",Sep_7_2021
4,">> MAN #52: [06:21:48] I urge the Atlanta City Council for the proposal to build a new treatment facility for the Atlanta Police before putting it on course. I hope this works because I'm not the only way that I'm going. I don't want things to be funded again by the pension, most people, but I know some of them are unhappy with city council members who are concerned with an action. I'm telling you today, please click on the for enforcement sequences on the substance in the substance water and flooding. In 2021 budget 2021 100 divided by 23. It should be a no brainer because, we want informed that having someone and having somebody remember the point in which they destroyed the money. Don't feel like a city will prevent inflation in November and contributing to the right things to stand before we continue this one will be one. Invest in our community, in our green space, in our wild life. Not the police training center that will destroy the forest. Thank you. [06:23:05]",Sep_7_2021
5,">> JENNIFER KLEIN: [06:23:08] My name is Jennifer Klein. I live in the city of Atlanta in the current county. I'm opposed to the proposed public safety training center. I will vote against anyone who voted for it. All of my friends and family members, coworkers, and acquaintances against any money can vote for it. Thank you. [06:23:30]",Sep_7_2021
6,">> JIM BYRD: [06:23:34] My name is [indiscernible] Jim Byrd. I live in both matter and City Council District 1. The problem is, I think it's my opposition to the proposal from these public lands to the Atlanta Police Foundation, which is privately owned and funded corporation. I think that the grant should be used by but it should be, it's going to be developed into something that kind of a community. I think this is going to hold consequences or fines. And especially after the last year we've had protests and people calling attention to police brutality. And there's not a difference between building a cop training facility. Just completely skipped the democratic process because the residents of the surrounding area. I want to commented on the proposal there's no understanding for citizens to consider other uses of the publicly and especially publicly to you to be present before, which is really just, you know, further enhancing the connection between slavery and minority policing. Furthermore, I think it's really important that the city and the trees and cutting down huge some of the remaining green spaces and terrible. We are losing time to deal with climate change because it is a terrible one, and I urge you to respect that. Thank you. [06:25:04]",Sep_7_2021
7,">> WOMAN #62: [06:25:05] Thank you for [indiscernible] I live in in District 8. Council member is taking on a very different calling completely and condition in cop city. I'd much rather have the city address priorities and inequalities in affordable housing to shelter people and build a facility that feels extremely violent to me. I feel that has really [indiscernible] as well. And I think we need to hear more also from the DeKalb County and community and meaning one thing that they have in America and, I think they have some issues, and I just want people to know that not everybody in Buckhead thinks that this is okay, because we don’t. Thank you. [06:26:06].",Sep_7_2021
8,">> ANTHONY: [06:26:10] Hello. My name is Anthony [indiscernible], and I live in Decatur. Calling to oppose the proposed [indiscernible] South River Forest to the Atlanta police foundation, and [indiscernible] more money being poured in to policing. Investing more in policing is not going to make us see any [indiscernible]. Police can prevent [indiscernible] after a crime has occurred. They can’t prevent any crime from happening. Invest in something that keep us safe and clean. Do not invest in cop city being built in this area. Thank you. [06:26:51]",Sep_7_2021
9,">> WOMAN #63: [06:26:54] Hello. This is [indiscernible] proposal for [indiscernible] South River Forest police foundation [indiscernible] being represented by Atlanta City Council. Again, we urge you to vote no on this. We’ve seen countless examples of Atlanta [indiscernible] murdering people in our community. [Indiscernible] going to prevent crime [indiscernible]. Thank you. [06:28:10].",Sep_7_2021
10,">> CINDY: [06:28:11] Hi. My name is Cindy [indiscernible], and I am an Atlanta resident, and I am concerned, very concerned [indiscernible] and something must be done. Please vote yes on the building of the Public Safety Training Center on Key Road. It is an amazing facility. There’s so much to offer [indiscernible] police force and for the community as well. We’re counting on you. Thank you. [06:28:40].",Sep_7_2021
11,>> MAN #52: [06:28:11] [indiscernible] And there’s definitely more options around DeKalb [indiscernible] [06:29:03].,Sep_7_2021
12,>> RACHEL RAWLING: [06:29:04] Hello. This is Rachel Rawling. I am calling to say I do not want the Atlanta prison farm to be destroyed. Do not turn over [indiscernible]. Please preserve the Atlanta prison farm. Thank you. [06:29:18],Sep_7_2021
13,">> CATHERINE: [6:29:19] Hi, this is Catherine [indiscernible]. I'm a resident voter in Atlanta. I live in City Council District 5, and I'm calling the code a proposal by three separate to leave public lands and privately owned, corporate funded Atlanta police foundation plans to be used by the residents of surrounding neighborhoods, not by cops. After here, brutalizing protesters, standing up for racial justice and against police violence. It's insulting that the city not only voted to increase the police budget by now and can provide further resources towards policing, and [indiscernible] cop city facility. Cop City cannot keep people safe. I urge the council to reject that proposal. [6:30:06].",Sep_7_2021
14,">> WOMAN #62: [06:30:07] Hi. My name is [indiscernible]. I live in Creek Wood District 5 [indiscernible] And I am calling because I strongly oppose [indiscernible] South River Forest to the Atlanta police foundation [indiscernible] investing more resources is policing is not in preventing crimes [indiscernible] murdering black neighbors. So, [indiscernible] community to keep us safe. I think we should invest in [indiscernible] affordable housing, affordable health care. Everyone deserves this things. And it’s embarrassing because for several years [indiscernible] And the police foundation thing is destructing. It’s not only in Atlanta, it’s on incorporated DeKalb. I strongly oppose [indiscernible]. Thank you. [06:31:36].",Sep_7_2021
15,">> KAREN: [06:31:39] Hi. My name is [indiscernible] Karen. I am just calling to ask you all not to approve this thing about Atlanta Forest [indiscernible] do not need to cut down any forest. Please don’t do that, and let’s look at other alternatives. Thank you so much. [06:32:09].",Sep_7_2021
16,">> LINDA: [6:32:11] Hi. My name is Linda Weisberg and I am a resident of Atlanta, and I strongly urge the council to reject the proposal to take public land and turn it over to corporate controlled entities that would, in the midst of a climate crisis, raise a forest for the purposes of devoting public land to well-resourced police department is absolutely one priority that this council should be considering. There's so many more important issues that demand urgent attention, from poverty to affordable housing to public transport. And I really hope that City Council thinks during decision and reject a proposal to build this training facility in a green space that no one in the public land. Thank you. [6:33:18]",Sep_7_2021
