id,text,dates
1,">> WOMAN #34: [4:21:27] Hi, my name is [indiscernible]. I am Atlanta resident and I live in Buckhead. I'm very concerned with the increase in crime and something must be done. Please vote yes for the building public safety training center on the Key Road. Thank you. [4:21:45]",Sep_7_2021
2,">> LORRAINE HUNTER: [4:21:46] Hi, this is Lorraine Hunter. I'm a resident of the city of Atlanta in DeKalb County. And I'm calling in opposition to passing the ordinance that will allow the building of a police and fire training facility in the area where a forest now exists where the old people used to be and the surrounding area. I think one thing that so many of the usual environmental protected practices or research has been done in this particular case. There had been reports already that the land is already contaminated with [indiscernible] for instance, and the waterways in Kentucky. And the land it has great plans for becoming carbon neutral in saving the environment. And again, on paper, this facility will destroy lumbering thing. And we're creating a situation where you have things like explosion and fine regions and all kinds of things that would create America more toxic environmental pollution and danger. And anything that's there at this point, we need to have clean up the area and develop it and the green stays in place it can be. I always knew that this facility is in response to that and immediate action to keep from taking crime is fairly ridiculous because it'll take years to actually pay. [4:23:43]",Sep_7_2021
3,">> MAN #35: [4:23:44] Hello, my name is [indiscernible]. I oppose the construction of a new police training facility on the ground of the old Atlanta prison farm because of first destroying the environment, all these trees would be cut down for what exactly? And also considering the location of the city of Atlanta and taking into account the future of the city of Atlanta and what could be enhanced, community and caring for the people as far as Atlanta County enhances security with the police. I oppose this motion of constructing of a training facility on the old Atlanta prison farm. Can find a training facility on the ground. Increasing time to me if I come back in time. I don't know why anyone could potentially from some of these communities. So, anyway, thank you again. Again, I oppose construction of a training facility on the old prison farm property. Thank you. [4:25:23]",Sep_7_2021
4,">> RACHEL CRANE: [4:25:24] Hi. My name is Rachel Crane. I am a local citizen. I actually live [indiscernible] and I was calling to express my grave concerns about the new police training facility that y'all are voting on. Please trade out acres and acres and acres of forest so that the police and other law enforcement. Agencies will have more space to practice doing that kind of thing which they have been doing for the last several years. Unfortunately, APD has not shown themselves to be trustworthy or particularly, interested in protecting protesters First Amendment rights to speak out against these things. And we already have so much to worry about in terms of climate change. And the impact of putting even one concrete in the middle of the city, which will create its own terrible problems. Moving forward, if you start seeing flooding might cause up and down Philadelphia and then from ecological perspective from a political perspective. And for me, in the public interest perspective, I don't want to say I agree she is completely against cop city. I think he will vote against it tonight. Thank you. [4:27:01]",Sep_7_2021
5,">> WOMAN #36: [4:27:02] Hello, this is [indiscernible] I am an Atlanta resident and I am in support of the building of the training center on Key Road. Please support Joyce Sheppard's proposed ordinance to build a public safety training center on Key Road. Thank you. [4:27:25]",Sep_7_2021
6,">> WOMAN #37: [4:27:26]Good afternoon. My name is [indiscernible]. I am now a resident of Atlanta, not originally from Atlanta, originally from Brooklyn. I have already called a couple of times, regarding the matter of the public safety training center, but I feel like this is my duty. And now I'm a resident of a gorgeous city. To call attention to the park, the building and the public safety training center I've been keeping an eye on and realizing that there's a lot of emotion involved, but I think these men and women they deserve a new public safety training center. And then everything has been done. The community has been spoken to. Just vote yes for what they said to me, to fight crime, get ready for what's going on and make this city what it's always been, a garden city. It comes together and done things for the right reasons. I urge you to do what's right and what's right is to vote yes. Vote yes on the public safety training center. Have a great afternoon. [4:28:54]",Sep_7_2021
7,">> ROMARIO: [4:28:55] My name is Romario. I'm a resident of Detroit, a gorgeous district of Atlanta. This message is for Cleta Winslow, the 27-year incumbent and the City Council. Do your job and listen to your constituents. Do not destroy hundreds of acres of large forest green for an environmentally racist training facility. You are known to listening to your constituents, a lot of your voters and especially the working class in the Atlanta community. So, please do the right thing. [Indiscernible], you know who I am, I'll see you around. Bye. [4:29:45]",Sep_7_2021
8,">> WOMAN #38: [4:29:46] Good evening. My name is Keon Barnes and I'm a resident and voter of Atlanta and I live in City Council District 2. I'm calling to oppose the proposal to lease public land to corporate funded Atlanta police foundation. This land should be used by the residents of surrounding neighborhoods in DeKalb County, not by cops. Supporters of this proposal make people think it is going to make our community safer, and it is simply not supported by facts. The cops, no matter their training, do not act. The police caused active and irreversible harm to our community and our neighborhoods, people like Rashad, [indiscernible]. The proposal by Joyce Sheppard is nothing, it is something kind of the mayor and city council addressing the real working-class people living in Atlanta. You must stop bending backwards to please foundations. You must address poverty, system inequality, public transportation, and lack of affordable housing. I'm calling in along other countless Atlantan's who opposes this proposal to demand that you reject it use the same precious resources in ways that will truly make up for people. Thank you. [4:31:04]",Sep_7_2021
9,">> BRIDGET HOLCOMB: [4:31:05] Hi, my name is Bridget Holcomb and I am a resident and voter in Atlanta. I live in City Council District 5. I oppose the proposal by Joyce Sheppard to lease 381 acres of public land to the Atlanta police foundation for the purposes of constructing an $8.6 million police training facility. Thank you. [4:31:27]",Sep_7_2021
10,">> MICHELLE CASSELBERRY: [4:31:28] Hi, my name is Michelle Casselberry. Vote not to this Joyce Sheppard's proposal to build a police training facility. Thank you. Vote no. [4:31:39]",Sep_7_2021
