id,text,dates
1,">>WILLIAM MARTIN: [01:57:18] Hello. My name is William Martin, and Atlanta is my home. I oppose the proposal by Joyce Shepherd to lease public land to privately-owned corporate funded Atlanta Police Foundation. DeKalb County not cops. After a year of cops brutalizing protesters standing up for racial injustice and against police violence and the death of [indiscernible] Books, it is known that the city not only voted to increase the police budget by 6%, but now intends to put more resources into policing and surveillance for this proposed facility. Cop academies do not keep people safe. This training facility will be used to train better violent repression tactics against Atlanta civilians, weapons exposing testing and dangerous shooting ranges. The fact that this forest used to be a prison farm underscores the connection between the legacy of slavery and modern day policing. [01:58:18]",Sep_8_2021
2,">> ELIZABETH GARDNER: [01:58:20] Hi. My name is Elizabeth Gardner, and I'd like to ask that you please vote no to building the police training facility on Key Road. Please vote no. Thank you. [01:58:32]",Sep_8_2021
3,">> MALE 29: [01:58:36] Hi, I think building a training facility for the police you are helping them come down and take my life. [01:58:43]",Sep_8_2021
4,">> MALE 30: [01:58:46] Hi. My name is [indiscernible]. I live in DeKalb County, and I'm calling to oppose the police training facility in the South River forest. I believe a police facility is going to have a significant negative environmental impact on the area with concerns, especially right now with flooding, Atlanta forests are really important as part of reducing water runoff. [indiscernible] I also think that the public process has not been allowed for input. In fact, here in DeKalb County, we've had no impact input on the police training facility, even though it greatly impacts our county. So again, I do urge that the council vote no against the police training facility and instead trying to build it into a park that everyone can use. Thank you. [02:00:16]",Sep_8_2021
5,">> FEMALE 31: [02:00:18] Hi. This is [indiscernible]. I'm calling from Sterling Heights neighborhood in unincorporated DeKalb County. I'm calling to urge the City Council to vote no to the police training facility on the Atlanta prison farm. We can believe that it has been an unfair burden and that it would be unwise for the city to take on the concept from scratch with the right community and racial things and, in a location that is better suited for that need. Because we do recommend that there are many. But this has unfortunately not gone well with the local residents. And we are not there to have the burden put on to us. [indiscernible] Thank you so much. Good bye. [01:57:28][69.8]",Sep_8_2021
6,>> FEMALE 32: [02:01:33] My name is [indiscernible] And I'm sorry to tell you that I am very much opposed to the destruction of the old prison farm to book for a police training facility. Thank you so much for listening to me. [01:57:57],Sep_8_2021
7,>> MALE 31: [02:02:00] Do what is right for the city of Atlanta. Show some courage and pass the Atlanta police for the public safety training center at Key Road. Police officers are currently going to John Clean House to intimidate people who are trying to stand up for the right thing as leaders. You all can send a strong message that we do not tolerate crime in the city. Please do the right thing and be courageous. [01:58:29],Sep_8_2021
8,">> FEMALE 33: [02:02:32] Hi. My name is [indiscernible], and I live in Zone 2. And I'm really hoping that you did not table this again. The citizens are suffering immensely because of the current climate against police officers, and nobody does this year. The money has already been raised privately, and it's not fair that our officers are training in a facility [indiscernible]. They have been mistreated for a very long time. And citizens deserve good trained officers. So, please do not do this to citizens anymore. Please allow our officers to have a nice facility to train in. Thank you. [02:03:19]",Sep_8_2021
9,>> KIRK COLBURN: [02:03:22] Good afternoon. This is Kirk Colburn. Please vote no to Joyce Shepherd's ordinance to lease 381 acres of public land to Atlanta Police Foundation in order to build a public facing facility. Thank you. [02:03:37],Sep_8_2021
10,>> CHARLES STEVENS: [02:03:40] Hello. My name is Mr. Charles Stevens. I have lived in the city of Atlanta for over 40 years. And I'm very concerned about the uptick in crime. And I would like to encourage you to vote yes for the police facility on Key Road. Thank you very much for your service. And have a good day. [02:03:54],Sep_8_2021
11,">> PRIDE WEAVER: [02:03:57] My name is Christ Weaver. I'm an Atlanta resident. And I'm really unhappy with the level of crime we've seen in the city of Atlanta close to 18 months. And I would like you guys to fully support building a police training facility on Key Road. Again, my name is Pride Weaver. Please support the police training facility to be build on Key Road to help with our crime. Thank you. [02:04:20]",Sep_8_2021
12,">> VICTOR BRANCHES: [02:04:22] Hi. My name is Victor Branches, and I'm a resident at Buckend. And I oppose the building of a training facility on Key Road now. I vote no, thank you. [02:04:34]",Sep_8_2021
