id,text,dates
1,">> MARY ROBISNSON: [07:52:03] Hi, my name is Mary Robinson. I'm calling with concerns over the proposed police training facility on Key Road. I'm a resident of the prison farm neighborhood, where the training facility is going to be build. I strongly oppose the proposed police training center for several reasons. The first being that Atlanta police already have nearly 100 acres elsewhere, that they should be using. [indiscernible] property slowly being reclaimed by the surrounding forest wetlands and the hundreds of species of animals that reside there. We find any part of these wetlands and woods that remain in our city as an explosion and negatively impact the efficiency of our natural floodplain as well as the climate. There isn't so much space available in the city of Atlanta itself. Rather than putting the farm on unincorporated DeKalb County because they can get away with that portion already sitting in the street. [indiscernible]. Thank you. [07:53:20]",Sep_8_2021
2,">> PRINCE WILLIAM WALTERS: [07:53:21] This is Prince William Walters, a homeowner in Gresham Park, and I'm calling to voice my disapproval of the training facility plan for the old Atlanta prison farm. This place should be used for much more public purposes, and I would very much appreciate you hear the voices of the community and our disapproval of the proposed new training facility in the Atlanta prison farm. We do not want this here. Homeowners have spoken, and we would very much appreciate more community minded use of such land. Thank you for your time. [07:54:03]",Sep_8_2021
3,">> EMILY JOHNSON: [07:54:04] Hi there. My name is Emily Johnson and I am a resident of Atlanta. I'm calling to express my extreme concern and condemnation of the proposed construction of 300 acres for a playground for cops. In the past year, your constituents, myself included, have been pleading with you to divest money from policing and invest in community programs. [indiscernible]. This proposed facility is a slap in the face in light of the Atlanta residents. Additionally, we are facing a warming climate and increased occurrence of natural disasters. To ensure Atlanta remains a resilient city, we must make sure that our green spaces are protected. The destruction of the forests would have extreme ecological impacts that would threaten the well-being of my community. I'm pleading with you to listen to the community and vote no on this plan. Thank you. [07:55:00]",Sep_8_2021
4,">> MARY PARK: [07:55:00] This is Mary Park and I live on Taylor Street, near the Carter Library. I am calling because I'm concerned about the police training facility that y'all are, thinking of building, and what I want to say that this is not how our money should be spent. [indiscernible]. Anyway, I live in the city of Atlanta in DeKalb County. And so that's my opinion. [07:56:26]",Sep_8_2021
5,">> CATHERINE REED: [07:56:27] My name is Catherine Reed, and I would like to voice my comment in support, but keeping the old Atlanta prison farm out of the equation. I want to fence every acre of the Atlanta prison farm. Do not give away this historic park for a training center that you can put somewhere else. Thank you. [07:57:04]",Sep_8_2021
6,>> MAN #7: [07:57:04] This is [indiscernible]. And I'm in support of the public safety training center on Key Road. Thank you. [07:57:15],Sep_8_2021
7,">> JASON FORD: [07:57:16] Jason FORD. I'm actually convinced that the Atlanta police department and all that employees deserve the training facility, [indiscernible]. [07:57:55]]",Sep_8_2021
8,">> MICHAEL GERBER: [07:58:55] Hi, my name is Michael Gerber, and I've lived in the city of Atlanta now since 1998. I was a student at Georgia Tech, and then for about 15 years down here, in Salina, and now I live in Midtown. I'm calling to urge the entire council to vote no on the construction of the public training facility that is being proposed to be built on the old prison farm in the southeastern part of the city. I visited numerous that area and gone on some hikes. Also, with a group of friends and some scenic through there, you have a good time, and it's a nice little getaway from the rest of the city. And this is so much potential in that whole area to be another great part to the city and for generations to come. They think that I can potentially become an area where there are some regions that and the tearing down of the trees around there and it would take away from the potential that has to be become a major Park City. Again, I urge you to vote no. There are other places that this facility can be built. Just consider other options here. Thank you very much for your time. Bye. [07:59:48]",Sep_8_2021
9,">> CREATURE YOUNG: [07:59:49] Hello. My name is Creature Young. I'm a, South East Atlanta resident. I am calling to express my opposition on the proposal to lease the South River Forest in the old Atlanta prison farm as a police training facility. The Atlanta city design documents themselves pacify the South River Forest is going to be the keystone of Atlanta's future park in a greenspace. So, I don't know why we would not want to be careful planning unless it's an emergency and I don't see an emergency here. So, I think there's lots of other potential places for the training facility. It can go to industrial sites, strip malls, other places in Atlanta that they can make a facility like this. But there's only one work area. And, we believe that these overgrown trees that we're talking about here, that's irreplaceable. Let's keep the forest, and keep this training facility somewhere else. Thank you. [08:00:55]",Sep_8_2021
10,">> DR. BRUCE: [08:01:55] My name is Doctor Bruce. I am an employee with of the City of Atlanta Police Department. Also, I'm Atlanta resident for at least 15 years. Please vote yes for the public training facility for both police and fire. It is highly needed for the citizens of Atlanta to pay for their police and fire to add more training and better input. Please vote yes for Joyce Sheperd. Thank you. [08:01:15]",Sep_8_2021
11,>> WOMAN #11: [08:01:16] Hello. This is. [indiscernible] I oppose the proposal by Joyce Sheperd to lease part of the South River Forest to the Atlanta Police Foundation. I stand firmly against putting more money into policing. Thank you. [08:01:47],Sep_8_2021
12,">> FRANK: [08:01:48] Hello, my name is Frank Zachary. I live in the southern neighborhood of District 12. I'm asking you to vote no on the proposal on cutting down South River Forest Area. It's simply, not what the community wants. Thank you. [08:02:07]",Sep_8_2021
